neighbourhood,total_households,two_parent_families,one_parent_families,prop_single_parent,median_income,unemployment_rate,total_education,bachelors_or_higher,education_rate,assault_2019,assault_rate_2019,assault_2020,assault_rate_2020,assault_2021,assault_rate_2021,assault_2022,assault_rate_2022,assault_2023,assault_rate_2023,assault_2024,assault_rate_2024,breakenter_2019,breakenter_rate_2019,breakenter_2020,breakenter_rate_2020,breakenter_2021,breakenter_rate_2021,breakenter_2022,breakenter_rate_2022,breakenter_2023,breakenter_rate_2023,breakenter_2024,breakenter_rate_2024,homicide_2019,homicide_rate_2019,homicide_2020,homicide_rate_2020,homicide_2021,homicide_rate_2021,homicide_2022,homicide_rate_2022,homicide_2023,homicide_rate_2023,homicide_2024,homicide_rate_2024,robbery_2019,robbery_rate_2019,robbery_2020,robbery_rate_2020,robbery_2021,robbery_rate_2021,robbery_2022,robbery_rate_2022,robbery_2023,robbery_rate_2023,robbery_2024,robbery_rate_2024,shooting_2019,shooting_rate_2019,shooting_2020,shooting_rate_2020,shooting_2021,shooting_rate_2021,shooting_2022,shooting_rate_2022,shooting_2023,shooting_rate_2023,shooting_2024,shooting_rate_2024,cluster,opportunity_index
woburn-north,26580,4370,1290,0.22791519434628976,74500.0,16.0,14965.0,6300.0,0.42098229201470094,217,781.559509277344,185,667.364074707031,181,649.44384765625,190,674.859680175781,187,644.671997070313,215,739.441467285156,60,216.099411010742,25,90.1843338012695,28,100.466453552246,35,124.316261291504,45,155.134963989258,30,103.177879333496,,0.0,1,3.60737347602844,,0.0,2,7.10378646850586,2,6.89488744735718,,0.0,19,68.4314804077148,26,93.7917098999023,12,43.0570487976074,26,92.3492202758789,23,79.2912063598633,27,92.8600921630859,2,7.20331335067749,2,7.21474695205688,7,25.1166133880615,7,24.8632526397705,5,17.2372188568115,8,27.5141010284424,2,Low Opportunity
golfdale-cedarbrae-woburn,27085,3835,1215,0.24059405940594059,77000.0,16.7,14020.0,4495.0,0.32061340941512123,217,776.525329589844,167,592.787170410156,183,640.24072265625,194,665.089660644531,195,641.236450195313,192,623.417114257813,40,143.138305664063,40,141.984954833984,27,94.4617462158203,29,99.4206161499023,24,78.9214096069336,35,113.643745422363,,0.0,1,3.54962372779846,2,6.9971661567688,1,3.42829728126526,1,3.28839206695557,,0.0,47,168.187515258789,28,99.3894653320313,21,73.4702453613281,15,51.4244575500488,30,98.6517562866211,31,100.655883789063,11,39.3630332946777,12,42.5954856872559,13,45.4815788269043,7,23.9980792999268,3,9.8651762008667,2,6.49392795562744,2,Low Opportunity
guildwood,9680,2000,395,0.1649269311064718,102000.0,13.5,4795.0,2240.0,0.46715328467153283,30,297.088531494141,37,367.063507080078,36,355.134643554688,37,359.432678222656,56,524.983581542969,36,334.821441650391,10,99.0295104980469,3,29.761905670166,7,69.0539627075195,6,58.2863807678223,9,84.3723602294922,15,139.508926391602,1,9.90295124053955,,0.0,2,19.7297039031982,,0.0,,0.0,,0.0,7,69.3206558227539,3,29.761905670166,4,39.4594078063965,6,58.2863807678223,1,9.37470722198486,9,83.7053604125977,,0.0,1,9.92063522338867,,0.0,1,9.71439647674561,,0.0,1,9.3005952835083,1,Medium Opportunity
scarborough-village,16520,2505,1000,0.28530670470756064,71500.0,17.8,8910.0,3085.0,0.3462401795735129,174,1006.47845458984,180,1039.80126953125,120,687.324584960938,156,874.488464355469,154,827.690002441406,158,837.663024902344,40,231.374359130859,28,161.746871948242,22,126.009506225586,20,112.113906860352,35,188.111358642578,31,164.351608276367,,0.0,1,5.77667379379272,,0.0,,0.0,,0.0,3,15.9049940109253,28,161.962051391602,17,98.2034530639648,15,85.9155731201172,9,50.4512596130371,24,128.990646362305,28,148.44660949707,6,34.7061538696289,3,17.330020904541,3,17.1831150054932,1,5.60569524765015,2,10.7492208480835,5,26.5083236694336,2,Low Opportunity
eglinton-east,22535,3345,1340,0.28601921024546423,73500.0,17.1,12075.0,3945.0,0.3267080745341615,197,836.553588867188,153,648.250122070313,162,679.444702148438,174,715.254638671875,170,670.981994628906,200,779.058898925781,58,246.294952392578,23,97.4493713378906,30,125.823089599609,39,160.315704345703,53,209.188507080078,35,136.335311889648,2,8.49292945861816,2,8.47385787963867,3,12.5823097229004,1,4.11065912246704,1,3.9469530582428,,0.0,36,152.87272644043,24,101.686294555664,17,71.2997512817383,25,102.766471862793,35,138.143356323242,34,132.440017700195,7,29.7252540588379,11,46.6062202453613,8,33.5528259277344,6,24.6639537811279,3,11.8408584594727,2,7.79058885574341,2,Low Opportunity
west-hill,28140,3995,1650,0.29229406554472986,76000.0,16.9,15260.0,4605.0,0.30176933158584535,439,1521.40014648438,336,1155.0361328125,328,1111.18640136719,382,1264.23083496094,441,1398.57922363281,408,1275.0,77,266.851501464844,57,195.943618774414,70,237.143432617188,45,148.927719116211,55,174.425979614258,69,215.625,2,6.93120765686035,2,6.87521505355835,,0.0,1,3.30950498580933,2,6.34276294708252,2,6.25,72,249.523483276367,36,123.753868103027,43,145.673828125,63,208.498809814453,56,177.597366333008,45,140.625,9,31.1904354095459,7,24.0632514953613,5,16.9388160705566,7,23.1665344238281,11,34.885196685791,5,15.625,2,Low Opportunity
morningside,17660,2695,865,0.24297752808988765,85000.0,15.7,9405.0,3305.0,0.3514088250930356,179,984.111267089844,103,564.692993164063,83,451.160522460938,125,672.223693847656,130,678.95751953125,175,912.123413085938,17,93.4630813598633,18,98.684211730957,16,86.970703125,11,59.1556854248047,8,41.7820014953613,10,52.121337890625,1,5.49782848358154,1,5.48245620727539,,0.0,1,5.37778949737549,,0.0,1,5.21213388442993,18,98.9609069824219,8,43.8596496582031,5,27.1783447265625,15,80.6668472290039,3,15.6682510375977,11,57.3334732055664,3,16.4934844970703,8,43.8596496582031,3,16.3070068359375,7,37.6445274353027,4,20.8910007476807,8,41.6970710754395,2,Low Opportunity
highland-creek,12625,2085,280,0.11839323467230443,120000.0,15.0,6430.0,2540.0,0.39502332814930013,63,485.137847900391,33,253.028671264648,38,288.009704589844,60,439.657073974609,65,452.614715576172,70,474.769409179688,33,254.119827270508,14,107.345497131348,5,37.8960151672363,14,102.586647033691,14,97.4862442016602,16,108.51872253418,1,7.70060062408447,,0.0,1,7.57920265197754,,0.0,,0.0,,0.0,14,107.808410644531,2,15.3350715637207,2,15.1584053039551,2,14.6552352905273,3,20.8899097442627,12,81.3890380859375,,0.0,,0.0,,0.0,,0.0,3,20.8899097442627,4,27.1296806335449,1,Medium Opportunity
centennial-scarborough,13380,2775,445,0.13819875776397517,134000.0,11.6,6835.0,3415.0,0.4996342355523043,49,355.433044433594,47,340.431701660156,37,265.442291259766,39,274.860809326172,38,257.976928710938,50,335.976348876953,29,210.358337402344,8,57.9458198547363,5,35.8705787658691,21,148.001968383789,17,115.41072845459,19,127.671012878418,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,7.25373554229736,3,21.7296829223633,6,43.0446929931641,,0.0,7,47.5220642089844,5,33.5976333618164,,0.0,1,7.24322748184204,,0.0,,0.0,,0.0,1,6.71952676773071,0,High Opportunity
milliken,23980,3605,860,0.19260918253079506,81000.0,19.0,12760.0,3440.0,0.26959247648902823,98,375.882171630859,84,326.848236083984,63,246.238037109375,66,255.338897705078,89,332.672973632813,116,430.874389648438,132,506.290283203125,60,233.463027954102,89,347.860076904297,63,243.73258972168,76,284.080291748047,69,256.295959472656,1,3.83553242683411,,0.0,1,3.90854024887085,1,3.86877131462097,,0.0,,0.0,36,138.079162597656,32,124.513618469238,16,62.5366439819336,33,127.669448852539,36,134.564346313477,57,211.722747802734,1,3.83553242683411,1,3.8910505771637,6,23.4512405395508,4,15.4750852584839,3,11.213695526123,12,44.5732116699219,2,Low Opportunity
