neighbourhood,total_households,two_parent_families,one_parent_families,median_income,unemployment_rate,total_education,bachelors_or_higher,prop_single_parent,education_rate
englemount-lawrence,21285,3245,1055,78000.0,12.6,10465.0,4735.0,0.2453488372093023,0.4524605828953655
clanton-park,17620,3310,685,88000.0,12.1,10090.0,5150.0,0.17146433041301626,0.5104063429137761
bathurst-manor,15955,2800,675,92000.0,12.6,8935.0,4495.0,0.19424460431654678,0.5030777839955233
westminster-branson,25705,4330,1145,76000.0,15.5,14120.0,6180.0,0.2091324200913242,0.4376770538243626
newtonbrook-west,23805,3930,955,79000.0,13.7,13925.0,7270.0,0.195496417604913,0.5220825852782764
willowdale-west,17160,3350,570,76500.0,12.0,10030.0,6855.0,0.14540816326530612,0.6834496510468594
lansing-westgate,15910,3290,515,98000.0,11.5,9240.0,6140.0,0.13534822601839686,0.6645021645021645
bedford-park-nortown,22145,4750,625,135000.0,10.4,10795.0,7300.0,0.11627906976744186,0.6762389995368226
standrew-windfields,16960,3480,750,118000.0,10.8,8675.0,5700.0,0.1773049645390071,0.6570605187319885
bridle-path-sunnybrook-york-mills,8940,2140,250,222000.0,8.2,4255.0,3255.0,0.10460251046025104,0.7649823736780259
banbury-don-mills,27155,5630,1060,91000.0,10.5,14155.0,8385.0,0.15844544095665172,0.5923701872129989
victoria-village,17365,2835,1000,68000.0,16.8,9275.0,3385.0,0.2607561929595828,0.36495956873315366
flemingdon-park,22530,3775,1090,70000.0,16.5,12220.0,4855.0,0.22404933196300103,0.3972995090016367
pleasant-view,15220,2620,570,89000.0,16.9,8170.0,4055.0,0.1786833855799373,0.496328029375765
don-valley-village,26775,4945,1150,83000.0,15.1,14880.0,8325.0,0.18867924528301888,0.5594758064516129
hillcrest-village,16345,3155,750,86000.0,13.6,7975.0,4910.0,0.19206145966709348,0.6156739811912225
bayview-woods-steeles,12085,2400,485,93000.0,13.4,5960.0,3650.0,0.1681109185441941,0.6124161073825504
newtonbrook-east,15345,2870,530,80000.0,13.1,8920.0,5625.0,0.15588235294117647,0.6306053811659192
bayview-village,22330,4720,835,83000.0,13.7,13725.0,9355.0,0.15031503150315031,0.6816029143897996
henry-farm,19840,3795,790,79500.0,13.7,12745.0,8230.0,0.1723009814612868,0.6457434287956061
o'connor-parkview,18405,3225,925,77000.0,17.0,10235.0,3570.0,0.22289156626506024,0.3488031265266243
thorncliffe-park,20400,3475,660,67000.0,17.9,10610.0,4590.0,0.1596130592503023,0.43261074458058435
leaside-bennington,16535,3875,495,148000.0,11.2,8660.0,6260.0,0.11327231121281464,0.7228637413394919
broadview-north,10955,2060,590,68500.0,14.7,6690.0,3040.0,0.22264150943396227,0.45440956651718983
old-east-york,9160,1895,320,96000.0,12.2,5135.0,2460.0,0.14446952595936793,0.4790652385589094
